idx;Artist;Category;Style;Subject;Medium;Size;Orientation;price
P0005870;Ragheb Ayad;Collage;Figurative;transportaion and maps;Gouache;Small;Vertical;very high
P0005871;Mahmoud Sa'id;Drawing;Surrealism;Animals and Birds;Pincil;Medium;Horizontal;high
P0005872;Hamid Nada;Collage;Folk Art;Animals and Birds;Bronze;Medium;Horizontal;high
P0005873;Ragheb Ayad;Drawing;Surrealism;Animals and Birds;Woodcut;Small;Vertical;very high
P0005874;El Zeft;Photography;Portrait;Landscapes,sea and sky;Pincil;Small;Vertical;very low
P0005875;El Teneen;Painting;Surrealism;Animals and Birds;Lino;Large;Horizontal;very high
P0005876;Ganzeer;Drawing;Wall;people and portraits;Chalk;Small;Squared;very low
P0005877;Adham Wanly;Print;Wall;Animals and Birds;Chalk;Large;Vertical;low
P0005878;Khaled Hafez;Sculpture;Art Deco;still life;Metal;Large;Horizontal;medium
P0005879;Adam Henein;Photography;Pop Art;Landscapes,sea and sky;Gouache;Large;Horizontal;very high
P0005880;George Bahgoury;Collage;Street Art;Architecture and cityscapes;Ink;Medium;Squared;medium
P0005881;Emad Ibrahim;Drawing;Abstract;Landscapes,sea and sky;Mono;Large;Horizontal;very high
P0005882;Hazem Taha Hussein;Sculpture;Conceptual;still life;Acrylic;Small;Horizontal;medium
P0005883;Khaled Hafez;Collage;Portrait;still life;Charcoal;X-Large;Horizontal;very low
P0005884;Ghada Amer;Sculpture;Surrealism;transportaion and maps;Ceramic;Large;Vertical;medium
P0005885;Mahmoud Sa'id;Painting;Abstract;Animals and Birds;Woodcut;X-Large;Horizontal;medium
P0005886;Alaa Awad;Drawing;Documentary;transportaion and maps;Acrylic;Large;Horizontal;very low
P0005887;El Teneen;Sculpture;Figurative;Animals and Birds;Ceramic;Small;Squared;very low
P0005888;El Zeft;Drawing;Modern;Landscapes,sea and sky;Mixed media;Large;Horizontal;high
P0005889;Adam Henein;Drawing;Abstract;still life;Mixed media;Small;Horizontal;very high
P0005890;Hazem Taha Hussein;Drawing;Documentary;still life;Acrylic;Medium;Vertical;very low
P0005891;Hamid Nada;Painting;Conceptual;Abstract and non-figurative;Charcoal;Small;Horizontal;medium
P0005892;El Teneen;Collage;Portrait;transportaion and maps;Mono;Small;Vertical;high
P0005893;Khaled Hafez;Collage;Conceptual;Landscapes,sea and sky;Metal;X-Large;Vertical;medium
P0005894;Ghada Amer;Print;Abstract;still life;Oil;Large;Squared;very low
P0005895;Khaled Hafez;Collage;Pop Art;transportaion and maps;Ink;Large;Vertical;very low
P0005896;Ganzeer;Photography;Conceptual;Landscapes,sea and sky;Watercolur;Medium;Vertical;medium
P0005897;Hazem Taha Hussein;Photography;Graffiti;still life;Chalk;Large;Horizontal;high
P0005898;Hussain Bikar;Drawing;Abstract;Abstract and non-figurative;Lino;X-Large;Horizontal;high
P0005899;El Zeft;Painting;Documentary;Architecture and cityscapes;Ceramic;Small;Vertical;medium
P0005900;Hazem Taha Hussein;Collage;Pop Art;Flowers and plants;Lino;Large;Horizontal;medium
P0005901;Ragheb Ayad;Photography;Figurative;Abstract and non-figurative;Pastal;Medium;Horizontal;medium
P0005902;Abdel Hadi Al Gazzar;Photography;Documentary;still life;Wood;Medium;Horizontal;very low
P0005903;Adham Wanly;Print;Conceptual;Abstract and non-figurative;Watercolur;Medium;Squared;medium
P0005904;El Zeft;Drawing;Modern;Flowers and plants;Charcoal;Large;Horizontal;high
P0005905;Hossam Dirar;Sculpture;Figurative;Landscapes,sea and sky;Charcoal;Small;Vertical;medium
P0005906;Mohamed El Fayoumi;Sculpture;Modern;Abstract and non-figurative;Gouache;Large;Horizontal;low
P0005907;George Bahgoury;Photography;Surrealism;people and portraits;Ceramic;Medium;Horizontal;very low
P0005908;Fathi Hassan;Painting;Modern;still life;Gouache;Small;Squared;low
P0005909;Ghada Amer;Drawing;Graffiti;Abstract and non-figurative;Oil;Large;Horizontal;high
P0005910;Hossam Dirar;Collage;Surrealism;still life;Wood;Large;Horizontal;high
P0005911;Adam Henein;Drawing;Abstract;Architecture and cityscapes;Woodcut;Large;Squared;low
P0005912;Alaa Awad;Print;Graffiti;Architecture and cityscapes;Lino;Small;Squared;very low
P0005913;Hussain Bikar;Collage;Wall;Flowers and plants;Bronze;Large;Vertical;very low
P0005914;Mahmoud Sa'id;Collage;Abstract;Abstract and non-figurative;Ink;Medium;Squared;high
P0005915;Hazem Taha Hussein;Painting;Documentary;people and portraits;Gouache;Small;Horizontal;medium
P0005916;Ganzeer;Print;Folk Art;Flowers and plants;Gouache;Small;Vertical;high
P0005917;Abdel Hadi Al Gazzar;Photography;Conceptual;Landscapes,sea and sky;Lino;Small;Vertical;very high
P0005918;Adham Wanly;Sculpture;Street Art;Landscapes,sea and sky;Metal;X-Large;Squared;medium
P0005919;Ganzeer;Drawing;Conceptual;Landscapes,sea and sky;Wood;Large;Vertical;high
P0005920;Khaled Hafez;Print;Figurative;Landscapes,sea and sky;Woodcut;Medium;Squared;high
P0005921;Khaled Hafez;Collage;Street Art;Animals and Birds;Ink;Medium;Vertical;high
P0005922;Ragheb Ayad;Print;Graffiti;Architecture and cityscapes;Lino;Large;Horizontal;very low
P0005923;Khaled Hafez;Sculpture;Modern;Abstract and non-figurative;Chalk;X-Large;Horizontal;medium
P0005924;El Zeft;Photography;Portrait;Flowers and plants;Chalk;Large;Vertical;low
P0005925;Adham Wanly;Drawing;Modern;people and portraits;Watercolur;Small;Squared;medium
P0005926;Adam Henein;Collage;Portrait;transportaion and maps;Ceramic;X-Large;Vertical;medium
P0005927;Hossam Dirar;Print;Wall;Animals and Birds;Pastal;X-Large;Horizontal;very low
P0005928;George Bahgoury;Photography;Portrait;Architecture and cityscapes;Bronze;Medium;Vertical;low
P0005929;Ragheb Ayad;Drawing;Folk Art;still life;Wood;X-Large;Squared;very high
P0005930;George Bahgoury;Collage;Fine Art;Landscapes,sea and sky;Chalk;X-Large;Vertical;very high
P0005931;El Zeft;Drawing;Art Deco;Flowers and plants;Oil;X-Large;Vertical;medium
P0005932;Ghada Amer;Sculpture;Fine Art;Animals and Birds;Ink;Small;Squared;very low
P0005933;Hazem Taha Hussein;Drawing;Conceptual;Flowers and plants;Metal;X-Large;Horizontal;very low
P0005934;Hamid Nada;Print;Portrait;Architecture and cityscapes;Charcoal;Medium;Squared;medium
P0005935;Ghada Amer;Print;Modern;transportaion and maps;Chalk;Large;Vertical;very low
P0005936;George Bahgoury;Photography;Abstract;Landscapes,sea and sky;Mono;X-Large;Vertical;very high
P0005937;Hussain Bikar;Collage;Graffiti;Animals and Birds;Chalk;X-Large;Vertical;high
P0005938;Adam Henein;Sculpture;Conceptual;Landscapes,sea and sky;Pincil;Small;Squared;very low
P0005939;Tarek El Komi;Painting;Documentary;Animals and Birds;Mono;X-Large;Horizontal;high
P0005940;George Bahgoury;Drawing;Modern;Landscapes,sea and sky;Mono;X-Large;Horizontal;low
P0005941;Hossam Dirar;Sculpture;Conceptual;Abstract and non-figurative;Charcoal;Medium;Horizontal;very high
P0005942;George Bahgoury;Sculpture;Wall;Abstract and non-figurative;Charcoal;Large;Vertical;medium
P0005943;Abdel Hadi Al Gazzar;Sculpture;Conceptual;people and portraits;Wood;Medium;Squared;medium
P0005944;Adham Wanly;Photography;Wall;Animals and Birds;Pastal;Small;Horizontal;high
P0005945;Mahmoud Sa'id;Painting;Abstract;still life;Acrylic;X-Large;Horizontal;very low
P0005946;Ragheb Ayad;Painting;Surrealism;still life;Chalk;Small;Squared;low
P0005947;Mohamed El Fayoumi;Photography;Folk Art;Flowers and plants;Mixed media;Small;Horizontal;very high
P0005948;Adham Wanly;Drawing;Portrait;people and portraits;Mixed media;Small;Squared;low
P0005949;Ghada Amer;Collage;Surrealism;transportaion and maps;Charcoal;Medium;Vertical;very high
P0005950;George Bahgoury;Drawing;Figurative;Abstract and non-figurative;Bronze;Large;Horizontal;low
P0005951;Mohamed El Fayoumi;Photography;Portrait;Flowers and plants;Mixed media;Medium;Vertical;high
P0005952;Mahmoud Sa'id;Sculpture;Portrait;people and portraits;Metal;X-Large;Squared;high
P0005953;Khaled Hafez;Sculpture;Fine Art;still life;Bronze;Medium;Horizontal;very high
P0005954;George Bahgoury;Painting;Abstract;Animals and Birds;Gouache;Small;Squared;very low
P0005955;Adam Henein;Photography;Pop Art;Landscapes,sea and sky;Wood;Medium;Vertical;very high
P0005956;Khaled Hafez;Painting;Abstract;Landscapes,sea and sky;Mixed media;Medium;Horizontal;very high
P0005957;Emad Ibrahim;Print;Pop Art;Animals and Birds;Acrylic;Medium;Vertical;medium
P0005958;Ganzeer;Photography;Art Deco;Landscapes,sea and sky;Gouache;Medium;Vertical;very high
P0005959;Hamid Nada;Photography;Abstract;Abstract and non-figurative;Mixed media;Medium;Horizontal;very low
P0005960;Hossam Dirar;Collage;Art Deco;Animals and Birds;Ink;X-Large;Squared;very high
P0005961;Emad Ibrahim;Sculpture;Documentary;Landscapes,sea and sky;Pastal;Medium;Squared;very high
P0005962;Hamid Nada;Sculpture;Portrait;Animals and Birds;Pastal;Large;Vertical;very high
P0005963;Abdel Hadi Al Gazzar;Print;Figurative;Animals and Birds;Pastal;Medium;Horizontal;low
P0005964;Tarek El Komi;Collage;Documentary;Animals and Birds;Watercolur;Medium;Horizontal;low
P0005965;Khaled Hafez;Drawing;Modern;Animals and Birds;Acrylic;Small;Vertical;high
P0005966;El Teneen;Sculpture;Figurative;still life;Charcoal;Medium;Squared;very low
P0005967;El Zeft;Print;Modern;still life;Ink;Medium;Vertical;low
P0005968;Adham Wanly;Print;Pop Art;Animals and Birds;Lino;X-Large;Horizontal;medium
P0005969;Hamid Nada;Painting;Figurative;still life;Pastal;X-Large;Squared;low
P0005970;Abdel Hadi Al Gazzar;Collage;Documentary;Landscapes,sea and sky;Chalk;X-Large;Squared;low
P0005971;Ragheb Ayad;Drawing;Figurative;transportaion and maps;Ceramic;X-Large;Squared;high
P0005972;Emad Ibrahim;Drawing;Street Art;Landscapes,sea and sky;Pincil;Small;Squared;medium
P0005973;Ragheb Ayad;Photography;Fine Art;Abstract and non-figurative;Woodcut;Small;Vertical;very low
P0005974;Mahmoud Sa'id;Collage;Art Deco;Abstract and non-figurative;Ink;Large;Horizontal;medium
P0005975;Ganzeer;Sculpture;Pop Art;Flowers and plants;Ink;Medium;Squared;low
P0005976;Emad Ibrahim;Print;Conceptual;Abstract and non-figurative;Charcoal;Large;Horizontal;high
P0005977;Alaa Awad;Print;Art Deco;Flowers and plants;Metal;Small;Horizontal;medium
P0005978;Tarek El Komi;Collage;Folk Art;Abstract and non-figurative;Mono;X-Large;Squared;high
P0005979;Hussain Bikar;Painting;Graffiti;Flowers and plants;Mono;Large;Horizontal;very low
P0005980;Ghada Amer;Photography;Portrait;Landscapes,sea and sky;Charcoal;Medium;Vertical;very high
P0005981;Ghada Amer;Drawing;Folk Art;Flowers and plants;Oil;Small;Vertical;low
P0005982;Abdel Hadi Al Gazzar;Drawing;Figurative;still life;Lino;Small;Squared;very high
P0005983;Ganzeer;Print;Figurative;Landscapes,sea and sky;Mono;X-Large;Vertical;very high
P0005984;Hussain Bikar;Sculpture;Abstract;Flowers and plants;Ink;Large;Vertical;low
P0005985;El Teneen;Painting;Modern;Flowers and plants;Chalk;Large;Squared;high
P0005986;Hossam Dirar;Photography;Figurative;Landscapes,sea and sky;Acrylic;Medium;Squared;very low
P0005987;Khaled Hafez;Sculpture;Abstract;Flowers and plants;Metal;Large;Horizontal;very low
P0005988;Emad Ibrahim;Print;Fine Art;Animals and Birds;Watercolur;Medium;Squared;medium
P0005989;Mohamed El Fayoumi;Collage;Abstract;transportaion and maps;Lino;X-Large;Squared;high
P0005990;Alaa Awad;Photography;Documentary;still life;Pincil;X-Large;Horizontal;very high
P0005991;Ganzeer;Sculpture;Figurative;Landscapes,sea and sky;Mixed media;Small;Squared;medium
P0005992;Alaa Awad;Painting;Portrait;Landscapes,sea and sky;Acrylic;Small;Vertical;low
P0005993;El Zeft;Drawing;Surrealism;transportaion and maps;Lino;X-Large;Vertical;high
P0005994;Ragheb Ayad;Painting;Graffiti;people and portraits;Pastal;Medium;Squared;high
P0005995;Mahmoud Sa'id;Photography;Folk Art;Architecture and cityscapes;Metal;Large;Squared;low
P0005996;Hussain Bikar;Print;Wall;Animals and Birds;Mixed media;Medium;Vertical;low
P0005997;Emad Ibrahim;Photography;Street Art;Architecture and cityscapes;Chalk;Large;Vertical;very high
P0005998;El Teneen;Collage;Pop Art;Abstract and non-figurative;Chalk;Small;Horizontal;high
P0005999;Tarek El Komi;Photography;Modern;Abstract and non-figurative;Bronze;Medium;Vertical;very low
P0006000;Alaa Awad;Sculpture;Surrealism;still life;Mixed media;Large;Squared;very high
P0006001;El Teneen;Collage;Fine Art;Architecture and cityscapes;Ink;Medium;Horizontal;very high
P0006002;Adam Henein;Drawing;Surrealism;transportaion and maps;Gouache;Large;Horizontal;very low
P0006003;Abdel Hadi Al Gazzar;Sculpture;Art Deco;transportaion and maps;Woodcut;Large;Horizontal;very high
P0006004;El Teneen;Photography;Graffiti;Animals and Birds;Chalk;Medium;Horizontal;very low
P0006005;Alaa Awad;Sculpture;Modern;Abstract and non-figurative;Gouache;X-Large;Horizontal;very low
P0006006;Ganzeer;Collage;Wall;transportaion and maps;Mixed media;Large;Vertical;high
P0006007;Ragheb Ayad;Painting;Documentary;Abstract and non-figurative;Chalk;Medium;Squared;high
P0006008;Fathi Hassan;Collage;Modern;Flowers and plants;Wood;X-Large;Squared;medium
P0006009;Alaa Awad;Photography;Art Deco;Abstract and non-figurative;Acrylic;Small;Vertical;low
P0006010;Adham Wanly;Painting;Folk Art;transportaion and maps;Ink;X-Large;Vertical;very high
P0006011;Ghada Amer;Painting;Folk Art;Animals and Birds;Metal;Medium;Horizontal;medium
P0006012;Alaa Awad;Drawing;Figurative;Animals and Birds;Gouache;Large;Vertical;low
P0006013;Fathi Hassan;Print;Portrait;Flowers and plants;Charcoal;Large;Squared;medium
P0006014;George Bahgoury;Collage;Folk Art;Animals and Birds;Metal;Medium;Horizontal;medium
P0006015;Ganzeer;Painting;Street Art;people and portraits;Mono;Medium;Squared;low
P0006016;Hazem Taha Hussein;Drawing;Art Deco;Animals and Birds;Mixed media;Large;Horizontal;medium
P0006017;El Teneen;Drawing;Surrealism;Abstract and non-figurative;Pastal;X-Large;Squared;very high
P0006018;Adham Wanly;Sculpture;Modern;transportaion and maps;Lino;Large;Horizontal;low
P0006019;Hossam Dirar;Photography;Folk Art;Flowers and plants;Ceramic;Small;Vertical;very high
P0006020;Mahmoud Sa'id;Collage;Documentary;Flowers and plants;Ceramic;X-Large;Vertical;very high
P0006021;Ghada Amer;Print;Abstract;Animals and Birds;Acrylic;Small;Vertical;very low
P0006022;Fathi Hassan;Collage;Art Deco;Landscapes,sea and sky;Pincil;Large;Horizontal;very high
P0006023;Adam Henein;Drawing;Pop Art;still life;Chalk;Small;Horizontal;low
P0006024;Ghada Amer;Photography;Art Deco;Flowers and plants;Pincil;X-Large;Horizontal;medium
P0006025;Ghada Amer;Drawing;Street Art;Abstract and non-figurative;Charcoal;X-Large;Horizontal;medium
P0006026;Hamid Nada;Painting;Conceptual;people and portraits;Wood;X-Large;Squared;medium
P0006027;El Teneen;Sculpture;Modern;Flowers and plants;Oil;Small;Vertical;low
P0006028;Abdel Hadi Al Gazzar;Drawing;Portrait;Abstract and non-figurative;Oil;Small;Horizontal;high
P0006029;Tarek El Komi;Print;Documentary;transportaion and maps;Ink;X-Large;Squared;high
P0006030;Fathi Hassan;Collage;Wall;Abstract and non-figurative;Mono;X-Large;Horizontal;medium
P0006031;Ganzeer;Collage;Art Deco;people and portraits;Ceramic;Small;Horizontal;high
P0006032;Abdel Hadi Al Gazzar;Collage;Documentary;transportaion and maps;Watercolur;X-Large;Squared;medium
P0006033;Ghada Amer;Photography;Graffiti;still life;Pincil;Medium;Horizontal;low
P0006034;Hossam Dirar;Collage;Folk Art;Flowers and plants;Gouache;Large;Vertical;low
P0006035;Alaa Awad;Drawing;Portrait;Animals and Birds;Gouache;X-Large;Horizontal;low
P0006036;Ghada Amer;Photography;Art Deco;Architecture and cityscapes;Wood;Large;Horizontal;very low
P0006037;Hamid Nada;Collage;Conceptual;Abstract and non-figurative;Pincil;Small;Horizontal;medium
P0006038;Adham Wanly;Collage;Modern;Landscapes,sea and sky;Pastal;Medium;Vertical;low
P0006039;Hussain Bikar;Drawing;Pop Art;Landscapes,sea and sky;Pincil;Small;Vertical;very low
P0006040;Khaled Hafez;Collage;Art Deco;still life;Acrylic;Small;Vertical;medium
P0006041;Hossam Dirar;Collage;Wall;still life;Acrylic;Small;Horizontal;medium
P0006042;Alaa Awad;Painting;Pop Art;Architecture and cityscapes;Watercolur;Small;Squared;high
P0006043;Hussain Bikar;Drawing;Art Deco;still life;Ceramic;X-Large;Horizontal;low
P0006044;Ragheb Ayad;Photography;Figurative;Architecture and cityscapes;Pastal;X-Large;Squared;very low
P0006045;Hamid Nada;Painting;Surrealism;transportaion and maps;Ceramic;Medium;Vertical;medium
P0006046;Adam Henein;Print;Conceptual;still life;Gouache;Large;Squared;low
P0006047;Alaa Awad;Sculpture;Street Art;people and portraits;Woodcut;Large;Vertical;very high
P0006048;Alaa Awad;Sculpture;Abstract;people and portraits;Ceramic;Large;Horizontal;high
P0006049;Ragheb Ayad;Photography;Folk Art;Abstract and non-figurative;Woodcut;Medium;Squared;very high
P0006050;Ganzeer;Collage;Fine Art;Abstract and non-figurative;Pincil;Large;Horizontal;very low
P0006051;Hussain Bikar;Collage;Documentary;Abstract and non-figurative;Chalk;Small;Vertical;very high
P0006052;Emad Ibrahim;Sculpture;Wall;Landscapes,sea and sky;Lino;Large;Squared;very high
P0006053;El Zeft;Photography;Wall;transportaion and maps;Mono;Medium;Horizontal;high
P0006054;Ganzeer;Drawing;Street Art;Architecture and cityscapes;Gouache;Large;Horizontal;very low
P0006055;Adham Wanly;Drawing;Documentary;Animals and Birds;Lino;Medium;Squared;very high
P0006056;Hossam Dirar;Collage;Folk Art;still life;Woodcut;Large;Horizontal;medium
P0006057;Khaled Hafez;Drawing;Folk Art;Landscapes,sea and sky;Chalk;Small;Horizontal;very high
P0006058;Hussain Bikar;Print;Conceptual;Landscapes,sea and sky;Charcoal;Large;Horizontal;medium
P0006059;Ganzeer;Painting;Modern;Architecture and cityscapes;Wood;Small;Horizontal;medium
P0006060;Mahmoud Sa'id;Collage;Portrait;Abstract and non-figurative;Oil;Medium;Vertical;low
P0006061;Hamid Nada;Painting;Wall;Abstract and non-figurative;Ceramic;Large;Squared;low
P0006062;Fathi Hassan;Sculpture;Folk Art;Architecture and cityscapes;Pastal;Medium;Squared;high
P0006063;Ganzeer;Drawing;Modern;people and portraits;Bronze;X-Large;Vertical;low
P0006064;George Bahgoury;Print;Street Art;Abstract and non-figurative;Ink;Small;Horizontal;high
P0006065;Fathi Hassan;Photography;Pop Art;still life;Bronze;Large;Squared;very high
P0006066;Mahmoud Sa'id;Photography;Street Art;Architecture and cityscapes;Ceramic;Large;Vertical;very low
P0006067;George Bahgoury;Print;Graffiti;Landscapes,sea and sky;Metal;Small;Squared;very high
P0006068;Adham Wanly;Collage;Figurative;Abstract and non-figurative;Lino;Large;Vertical;very high
P0006069;Ghada Amer;Print;Street Art;Abstract and non-figurative;Charcoal;X-Large;Horizontal;low
P0006070;Hussain Bikar;Sculpture;Art Deco;Landscapes,sea and sky;Lino;Small;Horizontal;very high
P0006071;Tarek El Komi;Painting;Wall;transportaion and maps;Lino;Large;Vertical;medium
P0006072;Ganzeer;Print;Wall;Flowers and plants;Gouache;Small;Squared;high
P0006073;Adam Henein;Drawing;Fine Art;Abstract and non-figurative;Bronze;X-Large;Horizontal;medium
P0006074;Hossam Dirar;Drawing;Pop Art;Abstract and non-figurative;Mono;X-Large;Vertical;medium
P0006075;Alaa Awad;Drawing;Portrait;Landscapes,sea and sky;Metal;X-Large;Vertical;low
P0006076;Tarek El Komi;Painting;Folk Art;Animals and Birds;Wood;Large;Vertical;very high
P0006077;Emad Ibrahim;Photography;Documentary;people and portraits;Pastal;Large;Vertical;high
P0006078;El Teneen;Collage;Figurative;Animals and Birds;Pastal;Small;Squared;very low
P0006079;George Bahgoury;Sculpture;Street Art;Animals and Birds;Acrylic;X-Large;Vertical;medium
P0006080;Ragheb Ayad;Print;Documentary;Animals and Birds;Woodcut;Large;Horizontal;very low
P0006081;Khaled Hafez;Painting;Abstract;Landscapes,sea and sky;Wood;Small;Horizontal;low
P0006082;Mahmoud Sa'id;Sculpture;Documentary;people and portraits;Woodcut;Medium;Horizontal;medium
P0006083;Mohamed El Fayoumi;Sculpture;Graffiti;Animals and Birds;Gouache;Small;Squared;very high
P0006084;Mahmoud Sa'id;Photography;Folk Art;Abstract and non-figurative;Ink;Large;Vertical;very low
P0006085;Mohamed El Fayoumi;Drawing;Conceptual;Animals and Birds;Metal;Medium;Vertical;medium
P0006086;Ghada Amer;Painting;Art Deco;still life;Metal;Medium;Vertical;very high
P0006087;Mahmoud Sa'id;Painting;Portrait;still life;Pincil;Medium;Horizontal;medium
P0006088;Mohamed El Fayoumi;Drawing;Pop Art;still life;Pastal;X-Large;Vertical;very low
P0006089;Tarek El Komi;Painting;Abstract;Flowers and plants;Oil;Medium;Horizontal;very low
P0006090;Hussain Bikar;Photography;Modern;transportaion and maps;Ink;Small;Squared;medium
P0006091;Tarek El Komi;Painting;Abstract;Architecture and cityscapes;Oil;X-Large;Vertical;low
P0006092;Emad Ibrahim;Sculpture;Street Art;Landscapes,sea and sky;Charcoal;Small;Horizontal;medium
P0006093;Adam Henein;Print;Art Deco;transportaion and maps;Mono;Medium;Horizontal;medium
P0006094;George Bahgoury;Painting;Graffiti;still life;Mono;Small;Vertical;high
P0006095;Hazem Taha Hussein;Print;Folk Art;people and portraits;Acrylic;Large;Squared;low
P0006096;Adham Wanly;Drawing;Portrait;Landscapes,sea and sky;Pincil;Medium;Horizontal;medium
P0006097;Abdel Hadi Al Gazzar;Sculpture;Modern;people and portraits;Gouache;X-Large;Squared;very high
P0006098;Hamid Nada;Print;Modern;Abstract and non-figurative;Watercolur;Small;Vertical;low
P0006099;Ganzeer;Painting;Fine Art;Animals and Birds;Watercolur;Medium;Horizontal;high
P0006100;Adam Henein;Print;Folk Art;Architecture and cityscapes;Oil;X-Large;Vertical;very low
P0006101;Alaa Awad;Collage;Fine Art;people and portraits;Pastal;Small;Horizontal;very low
P0006102;Ghada Amer;Photography;Modern;still life;Metal;Large;Horizontal;high
P0006103;Tarek El Komi;Collage;Art Deco;Landscapes,sea and sky;Charcoal;Large;Vertical;very low
P0006104;Hazem Taha Hussein;Painting;Fine Art;Landscapes,sea and sky;Mixed media;Medium;Horizontal;very high
P0006105;El Zeft;Sculpture;Conceptual;Flowers and plants;Oil;Large;Vertical;very high
P0006106;Ragheb Ayad;Sculpture;Pop Art;Landscapes,sea and sky;Lino;Small;Vertical;very low
P0006107;Mahmoud Sa'id;Collage;Figurative;Landscapes,sea and sky;Pastal;Small;Horizontal;high
P0006108;Mahmoud Sa'id;Photography;Figurative;Landscapes,sea and sky;Pastal;X-Large;Horizontal;very low
P0006109;Mohamed El Fayoumi;Sculpture;Graffiti;Architecture and cityscapes;Mixed media;Large;Squared;very high
P0006110;Ghada Amer;Photography;Folk Art;people and portraits;Mono;Medium;Squared;high
P0006111;Alaa Awad;Photography;Wall;still life;Bronze;Small;Vertical;medium
P0006112;El Teneen;Photography;Figurative;Architecture and cityscapes;Oil;Small;Horizontal;medium
P0006113;Adham Wanly;Photography;Surrealism;Animals and Birds;Pastal;X-Large;Vertical;very high
P0006114;Hamid Nada;Drawing;Street Art;Landscapes,sea and sky;Ink;Large;Squared;high
P0006115;Hossam Dirar;Painting;Wall;people and portraits;Oil;X-Large;Vertical;high
P0006116;Abdel Hadi Al Gazzar;Drawing;Surrealism;Flowers and plants;Acrylic;X-Large;Squared;low
P0006117;Hussain Bikar;Painting;Abstract;Flowers and plants;Mixed media;Large;Horizontal;very high
P0006118;El Zeft;Print;Graffiti;people and portraits;Bronze;Large;Vertical;very high
P0006119;Fathi Hassan;Photography;Conceptual;Architecture and cityscapes;Acrylic;Medium;Vertical;very low
P0006120;Abdel Hadi Al Gazzar;Collage;Abstract;Flowers and plants;Oil;Small;Horizontal;very high
P0006121;Khaled Hafez;Painting;Pop Art;still life;Mixed media;X-Large;Horizontal;low
P0006122;Mohamed El Fayoumi;Painting;Graffiti;people and portraits;Chalk;Small;Squared;very high
P0006123;Emad Ibrahim;Print;Modern;Landscapes,sea and sky;Woodcut;Medium;Squared;very low
P0006124;El Zeft;Collage;Conceptual;Flowers and plants;Woodcut;Medium;Horizontal;high
P0006125;Abdel Hadi Al Gazzar;Drawing;Fine Art;Landscapes,sea and sky;Pincil;Large;Horizontal;very low
P0006126;Fathi Hassan;Photography;Conceptual;Abstract and non-figurative;Woodcut;X-Large;Vertical;low
P0006127;George Bahgoury;Sculpture;Folk Art;Animals and Birds;Gouache;X-Large;Squared;high
P0006128;George Bahgoury;Collage;Street Art;Architecture and cityscapes;Wood;X-Large;Vertical;very low
P0006129;Alaa Awad;Photography;Wall;Landscapes,sea and sky;Bronze;Large;Horizontal;low
P0006130;Adam Henein;Photography;Pop Art;Flowers and plants;Watercolur;Small;Horizontal;low
P0006131;El Teneen;Painting;Documentary;people and portraits;Ceramic;Small;Horizontal;low
P0006132;Hazem Taha Hussein;Print;Folk Art;Abstract and non-figurative;Wood;Small;Horizontal;very low
P0006133;Ghada Amer;Painting;Figurative;still life;Bronze;X-Large;Horizontal;medium
P0006134;Ghada Amer;Drawing;Surrealism;Animals and Birds;Pastal;Large;Horizontal;low
P0006135;Tarek El Komi;Collage;Street Art;people and portraits;Chalk;Large;Vertical;high
P0006136;Adham Wanly;Sculpture;Conceptual;Abstract and non-figurative;Bronze;X-Large;Horizontal;very low
P0006137;Tarek El Komi;Sculpture;Street Art;Architecture and cityscapes;Metal;X-Large;Vertical;low
P0006138;Adam Henein;Painting;Figurative;people and portraits;Ink;Small;Vertical;very high
P0006139;Abdel Hadi Al Gazzar;Print;Figurative;Landscapes,sea and sky;Chalk;Medium;Vertical;very low
P0006140;Ghada Amer;Print;Portrait;transportaion and maps;Lino;Medium;Vertical;medium
P0006141;Alaa Awad;Collage;Portrait;people and portraits;Gouache;Large;Vertical;low
P0006142;Ghada Amer;Print;Street Art;Flowers and plants;Chalk;Medium;Squared;low
P0006143;Ragheb Ayad;Drawing;Surrealism;Animals and Birds;Acrylic;Large;Horizontal;very low
P0006144;Adham Wanly;Sculpture;Surrealism;Abstract and non-figurative;Watercolur;Large;Vertical;very low
P0006145;Hamid Nada;Photography;Abstract;Landscapes,sea and sky;Woodcut;X-Large;Horizontal;very high
P0006146;Hamid Nada;Painting;Fine Art;transportaion and maps;Chalk;Medium;Vertical;very low
P0006147;Hossam Dirar;Photography;Art Deco;Abstract and non-figurative;Woodcut;Medium;Squared;low
P0006148;Ghada Amer;Drawing;Street Art;transportaion and maps;Charcoal;Large;Squared;very low
P0006149;Adam Henein;Collage;Street Art;Flowers and plants;Oil;X-Large;Horizontal;high
P0006150;Hazem Taha Hussein;Collage;Art Deco;transportaion and maps;Oil;X-Large;Horizontal;low
P0006151;Ragheb Ayad;Print;Street Art;Animals and Birds;Gouache;Medium;Horizontal;medium
P0006152;Adham Wanly;Print;Wall;Flowers and plants;Oil;Medium;Squared;very high
P0006153;Ganzeer;Painting;Street Art;Architecture and cityscapes;Charcoal;Large;Vertical;medium
P0006154;El Zeft;Drawing;Abstract;Animals and Birds;Bronze;Medium;Squared;medium
P0006155;El Zeft;Sculpture;Modern;Architecture and cityscapes;Ceramic;Small;Squared;medium
